source,policy,learner_seed,checkpoint_transition,n_paths,mean_bid_action,mean_ask_action,action_std_bid,action_std_ask,near_bound_rate_deterministic,stochastic_action_std_bid,stochastic_action_std_ask,near_bound_rate_stochastic,stochastic_full_objective
validation,hamilton_ppo,1.0,80000.0,100,-0.0401312821929004,-0.0433908806163768,0.0272994934805032,0.0173826242733872,0.0,0.2057399168964699,0.2139105130384803,0.0,31.314910040836352
validation,hamilton_ppo,1.0,96000.0,100,-0.0575560271122817,-0.025902049737328,0.042888060587738,0.008658962550011,0.0,0.2058915196545513,0.2105445263755431,0.0,33.06923659489662
validation,hamilton_ppo,1.0,112000.0,100,-0.0392613285492649,-0.0435228395952959,0.0506240299600689,0.0118346739201201,0.0,0.2034583193538821,0.2088159389007787,0.0,36.43781334783098
validation,hamilton_ppo,1.0,128000.0,100,-0.0127443213373749,-0.0472053231375393,0.0335049918368872,0.0151065508383068,0.0,0.2007866482893376,0.2100827968989159,0.0,33.632628228132816
validation,hamilton_ppo,1.0,144000.0,100,-0.0470862287465572,-0.0551955583496166,0.0225825417685,0.0226180976415334,0.0,0.1933752748130273,0.2084996504339714,7.168458781362e-05,34.648439623717785
validation,hamilton_ppo,1.0,160000.0,100,-0.043982035405564,-0.0568233324460436,0.0205487884231159,0.0218914184585836,0.0,0.1870655556847023,0.2044045993846598,0.0,29.616040619970285
validation,hamilton_ppo,1.0,176000.0,100,-0.0575243855268903,-0.0729196697256194,0.0201304788990419,0.0289352220717791,0.0,0.1878089415692022,0.2025197349360161,0.0,27.94692788802847
validation,hamilton_ppo,1.0,192000.0,91,-0.0643119907618463,-0.0654214298291372,0.039438245939094,0.0258202334316505,0.0,0.1881732904221416,0.199556028105251,0.0,30.322139614818443
validation,hamilton_ppo,1.0,200000.0,50,-0.082126037808339,-0.0844009824141907,0.0310639494771526,0.0248502448840507,0.0,0.1867313472929207,0.1967874331003483,0.0,32.820902103003775
validation,hamilton_ppo,1.0,300000.0,50,-0.1004922663052332,-0.0501913062592666,0.0404127697309821,0.0380366267725903,0.0,0.1845906466753221,0.1902552902351322,0.0,36.20171158617296
validation,hamilton_ppo,1.0,400000.0,50,-0.1040729310902254,-0.0888674702803952,0.0525262881124539,0.0121498459615199,0.0,0.1850502741556548,0.1879646098542295,7.2463768115942e-05,31.07512771131576
validation,hamilton_ppo,1.0,500000.0,50,0.0002503179233096,-0.0965278180536925,0.0715299008199482,0.0231137273225464,0.0,0.1810989065484293,0.1809614940036322,0.0,29.890688786092188
validation,hamilton_ppo,1.0,600000.0,50,0.0633893189887225,-0.1111614808461368,0.0493124085596631,0.0347285041015854,0.0,0.1552060862325404,0.1634482789272333,0.0,24.92435286834109
validation,hamilton_ppo,1.0,700000.0,50,0.0231783719781254,-0.1557124893106687,0.0707364057130602,0.0323761104144857,0.0,0.1614749290746534,0.155187295386454,0.0,32.22951179246514
validation,hamilton_ppo,1.0,800000.0,50,-0.0955845576410274,-0.1107855731784497,0.0629109905853765,0.0169414856639077,0.0,0.1527459870035685,0.1447699633195308,0.0,32.383819145790255
validation,hamilton_ppo,1.0,900000.0,50,-0.1708092370245678,-0.0892740348226569,0.0592003075890301,0.0398066660328674,0.0,0.14687661626305,0.1457196301375524,0.0,39.87482852460435
validation,hamilton_ppo,1.0,1000000.0,50,-0.1566260037391118,-0.1134959968426244,0.0529929370293086,0.0501204210616764,0.0,0.1369762738146319,0.1367641053488045,0.0,27.103411584650058
validation,hamilton_ppo,2.0,16000.0,50,-0.0043057322117526,-0.0058303207410429,0.0146938323221448,0.0251291058416591,0.0,0.2238191976103467,0.2260760744941709,0.0001379326745859,26.62313646693141
validation,hamilton_ppo,2.0,32000.0,50,-0.0043431183889536,0.009780331866312,0.0118326183954594,0.0270628149647358,0.0,0.2141099498929298,0.2247472237353022,0.0,39.38473314708286
validation,hamilton_ppo,2.0,48000.0,50,-0.0344759459568882,0.0020268083038367,0.0175709126624844,0.0179552680061602,0.0,0.2081537713938188,0.2245019174653023,7.142857142857e-05,30.45259827800161
validation,hamilton_ppo,2.0,64000.0,50,-0.0212940966557402,-0.0017976568362556,0.0093355332138042,0.0228656056904873,0.0,0.2051570844641634,0.2223528212114253,6.920415224913399e-05,29.54670148488473
validation,hamilton_ppo,2.0,80000.0,50,-0.0359882856490677,-0.0079896608103133,0.012589037718403,0.0286818219191427,0.0,0.2024525018151633,0.2255681732859607,0.0,33.7182994159393
