training_seed,q,tau,b,q_scaled,bid_action,ask_action,bid_depth,ask_depth
0,-15,0.05,0.9,-0.9051482536448665,-0.22948694229125977,-0.286484032869339,1.1827812537582707,1.0952874863521929
0,-15,0.05,1.0,-0.9051482536448665,-0.23593869805335999,-0.22840391099452972,1.1728774426639703,1.1844437682376685
0,-10,1.0,0.0,-0.7615941559557649,-0.27308574318885803,-1.0,1.1158546210787872,0.0
0,-10,1.0,0.1,-0.7615941559557649,-0.2824220359325409,-0.9838016033172607,1.1015228820818321,0.024865457821386407
0,-10,1.0,0.2,-0.7615941559557649,-0.29160359501838684,-0.9365400671958923,1.0874286680274903,0.09741459685142809
0,-10,1.0,0.3,-0.7615941559557649,-0.30056339502334595,-0.8878603577613831,1.0736748667424056,0.17214071236821654
0,-10,1.0,0.4,-0.7615941559557649,-0.3092401623725891,-0.8379493951797485,1.0603555366399091,0.2487568713131867
0,-10,1.0,0.5,-0.7615941559557649,-0.3175797760486603,-0.7870029211044312,1.0475537565520086,0.32696259914414233
0,-10,1.0,0.6,-0.7615941559557649,-0.32553619146347046,-0.7352217435836792,1.0353402075334688,0.4064496441154502
0,-10,1.0,0.7,-0.7615941559557649,-0.33307182788848877,-0.6828088760375977,1.0237725781344886,0.48690636911056934
0,-10,1.0,0.8,-0.7615941559557649,-0.34015709161758423,-0.6299660205841064,1.0128962963727908,0.5680231499362013
0,-10,1.0,0.9,-0.7615941559557649,-0.34677040576934814,-0.5768917798995972,1.0027444839853654,0.6494951202176208
0,-10,1.0,1.0,-0.7615941559557649,-0.35289710760116577,-0.5237781405448914,0.9933396491139237,0.7310275696928258
0,-10,0.75,0.0,-0.7615941559557649,-0.24544522166252136,-0.9563642144203186,1.1582843896315365,0.06698340626457261
0,-10,0.75,0.1,-0.7615941559557649,-0.2548466622829437,-0.9079005718231201,1.1438526449480344,0.14137784692890626
0,-10,0.75,0.2,-0.7615941559557649,-0.26409170031547546,-0.8577703237533569,1.1296609871094538,0.2183306215379264
0,-10,0.75,0.3,-0.7615941559557649,-0.2731111943721771,-0.8061701059341431,1.1158155520685809,0.2975398831017715
0,-10,0.75,0.4,-0.7615941559557649,-0.281841903924942,-0.7533125877380371,1.1024134176236093,0.37867917206911483
0,-10,0.75,0.5,-0.7615941559557649,-0.2902280390262604,-0.6994214057922363,1.0895402245088561,0.461405193530602
0,-10,0.75,0.6,-0.7615941559557649,-0.29822206497192383,-0.6447266936302185,1.0772689411918615,0.5453646794571769
0,-10,0.75,0.7,-0.7615941559557649,-0.30578505992889404,-0.5894611477851868,1.065659314894322,0.6302004274698096
0,-10,0.75,0.8,-0.7615941559557649,-0.312886506319046,-0.5338559746742249,1.054758191829882,0.7155575226022458
0,-10,0.75,0.9,-0.7615941559557649,-0.3195040225982666,-0.4781376123428345,1.0445999289384296,0.8010883696091128
0,-10,0.75,1.0,-0.7615941559557649,-0.32562267780303955,-0.4225238263607025,1.0352074460959757,0.8864586859873916
0,-10,0.5,0.0,-0.7615941559557649,-0.21343377232551575,-0.8686541318893433,1.2074237803305519,0.20162335862530678
0,-10,0.5,0.1,-0.7615941559557649,-0.22284460067749023,-0.8174485564231873,1.1929776249465638,0.28022682178967506
0,-10,0.5,0.2,-0.7615941559557649,-0.2321019172668457,-0.7645649313926697,1.1787671188267128,0.3614061862288461
0,-10,0.5,0.3,-0.7615941559557649,-0.24113571643829346,-0.7102236747741699,1.1648997246231945,0.4448230978450605
0,-10,0.5,0.4,-0.7615941559557649,-0.24988210201263428,-0.6546631455421448,1.1514735265958242,0.5301116620907411
0,-10,0.5,0.5,-0.7615941559557649,-0.25828465819358826,-0.5981336832046509,1.1385751261922845,0.6168875936195957
0,-10,0.5,0.6,-0.7615941559557649,-0.26629528403282166,-0.5408926606178284,1.12627836109697,0.704755810497031
0,-10,0.5,0.7,-0.7615941559557649,-0.2738746106624603,-0.48319923877716064,1.114643664755411,0.7933184858931234
0,-10,0.5,0.8,-0.7615941559557649,-0.2809918522834778,-0.42530983686447144,1.1037182951155498,0.8821820018174562
0,-10,0.5,0.9,-0.7615941559557649,-0.28762438893318176,-0.3674735426902771,1.0935369751033197,0.9709639943504683
0,-10,0.5,1.0,-0.7615941559557649,-0.29375728964805603,-0.3099282681941986,1.0841226245947317,1.0592992551684155
0,-10,0.25,0.0,-0.7615941559557649,-0.17693057656288147,-0.7658756971359253,1.2634582566036754,0.359394086454961
0,-10,0.25,0.1,-0.7615941559557649,-0.18629544973373413,-0.7121326327323914,1.2490826450296852,0.44189273908655846
0,-10,0.25,0.2,-0.7615941559557649,-0.19551700353622437,-0.6567794680595398,1.2349270368164476,0.5268629869703936
0,-10,0.25,0.3,-0.7615941559557649,-0.2045256793498993,-0.6000603437423706,1.221098208392325,0.6139300603973201
0,-10,0.25,0.4,-0.7615941559557649,-0.21325808763504028,-0.5422371625900269,1.2076934662967893,0.7026919236979075
0,-10,0.25,0.5,-0.7615941559557649,-0.22165843844413757,-0.48358309268951416,1.1947984512641574,0.7927292483621416
0,-10,0.25,0.6,-0.7615941559557649,-0.22967907786369324,-0.4243772625923157,1.1824863147549913,0.8836135562289066
0,-10,0.25,0.7,-0.7615941559557649,-0.23728114366531372,-0.36489859223365784,1.170816712494477,0.9749166893748749
0,-10,0.25,0.8,-0.7615941559557649,-0.2444341480731964,-0.3054203987121582,1.159836444948003,1.066219090548755
0,-10,0.25,0.9,-0.7615941559557649,-0.25111591815948486,-0.24620594084262848,1.1495795488176686,1.1571166425354902
