seed,cumulative_objective,raw_pnl,running_inventory_penalty,terminal_inventory_penalty,full_objective,reconciliation_abs_diff,mean_signed_inventory,mean_abs_inventory,terminal_signed_inventory,terminal_abs_inventory,total_fills,bid_action_mean,bid_action_std,ask_action_mean,ask_action_std,frac_bid_near_low,frac_bid_near_high,frac_ask_near_low,frac_ask_near_high,mean_belief,episode_length,treatment
100018,-78.75177280237997,-73.21328530237679,4.242487499999972,1.296,-78.75177280237676,3.211653165635653e-12,-16.16325,16.16325,-36.0,36.0,72.0,-0.24652769815921782,0.034244392731617584,-0.5350256875995547,0.3035408428045134,0.0,0.0,0.0,0.0,0.472930638264479,4000,correct
100018,64.8338843440331,65.3256893440323,0.34780499999999454,0.14400000000000002,64.8338843440323,7.958078640513122e-13,4.6115,4.826,12.0,12.0,24.0,-0.1615800799075514,0.08376521994411087,0.626394115710631,0.3790961731204334,0.0,0.0,0.0,0.25025,0.472930638264479,4000,stationary
100018,51.98208430869504,52.04171430869667,0.03463000000000053,0.025,51.98208430869667,1.6271428648906294e-12,0.3625,1.453,5.0,5.0,31.0,-0.1809666407252662,0.07468288829275116,0.18489701912552117,0.4075179931213619,0.0,0.0,0.0,0.01775,0.472930638264479,4000,shuffled
100018,46.65695041823055,46.68486291823319,0.018912500000000807,0.009000000000000001,46.656950418233194,2.6432189770275727e-12,-0.75625,1.09775,3.0,3.0,31.0,-0.19782726774225012,0.07392351287082806,0.1054263456040062,0.30758426143673306,0.0,0.0,0.0,0.0,0.472930638264479,4000,complement
100019,-94.2216852834891,-93.6803327834889,0.39735249999999295,0.14400000000000002,-94.2216852834889,1.9895196601282805e-13,4.40025,4.67175,12.0,12.0,24.0,-0.16403957045730203,0.08000810853963757,0.5249184450036846,0.49904521287796555,0.0,0.0,0.0,0.35325,0.7252663076381208,4000,correct
100019,-126.85745339514149,-126.05684839513924,0.6046050000000014,0.196,-126.85745339513925,2.2453150450019166e-12,6.0875,6.229,14.0,14.0,22.0,-0.15395011900318786,0.08698935231765663,0.6488613545768894,0.3551347963652076,0.0,0.0,0.0,0.40575,0.7252663076381208,4000,stationary
100019,-145.2915155352416,-144.34323803523876,0.7232775000000055,0.225,-145.29151553523874,2.8421709430404007e-12,6.67075,6.81225,15.0,15.0,23.0,-0.1480735672726296,0.09313198920859914,0.6460217948402278,0.38793545563735676,0.0,0.0,0.0,0.35025,0.7252663076381208,4000,shuffled
100019,238.77062737014495,240.7550323701421,1.2554050000000083,0.729,238.77062737014208,2.8705926524708048e-12,-8.527,8.581,-27.0,27.0,67.0,-0.22175914330035448,0.04612940573725467,-0.5201940084542148,0.3332973469564246,0.0,0.0,0.0,0.0,0.7252663076381208,4000,complement
100020,56.42108341117766,57.825513411176644,1.080429999999999,0.324,56.421083411176646,1.0160761121369433e-12,8.5455,8.6175,18.0,18.0,28.0,-0.13327452578675003,0.08087856733029454,0.639849907479249,0.43642394634477927,0.0,0.0,0.0,0.41525,0.6578341154968775,4000,correct
100020,67.19845056212881,68.98706556212665,1.4276149999999683,0.361,67.19845056212667,2.1458390619955026e-12,10.3115,10.3115,19.0,19.0,25.0,-0.13039120975974947,0.08314192684329286,0.7802820228850469,0.3100355001886647,0.0,0.0,0.0,0.522,0.6578341154968775,4000,stationary
