q,tau,belief,policy,bid_depth,ask_depth,bid_action,ask_action
-26.0,0.0,0.0,fixed_seed4,1.4495706806350392,1.4355294087493875,-0.05568917840719223,-0.0648362487554549
-26.0,0.0,0.0,event_seed0,1.769212014893797,0.9084902223728932,0.15253852307796478,-0.40817156434059143
-26.0,0.0,0.0,event_seed1,1.0685758576796598,1.5530450771151254,-0.3038851022720338,0.01171836070716381
-26.0,0.0,0.0,event_seed2,1.3651675052523908,1.5811385375639004,-0.11067292839288712,0.030019612982869148
-26.0,0.0,0.0,event_seed3,1.6239122386423155,1.708719371121126,0.05788418650627136,0.1131310909986496
-26.0,0.0,0.0,event_seed4,0.6770481965537678,1.0712608227956009,-0.5589425563812256,-0.30213600397109985
-24.0,0.0,0.0,analytical,0.6195528039983041,0.7157853742813922,-0.5963974539637744,-0.5337075425838063
-24.0,0.0,0.0,fixed_seed0,1.5479291726497661,1.4557276409806048,0.00838564708828926,-0.05167827755212784
-24.0,0.0,0.0,fixed_seed1,0.9199875824514083,1.9413951130207445,-0.4006817042827606,0.2647057771682739
-24.0,0.0,0.0,fixed_seed2,1.0430050990030604,2.174034828169148,-0.32054296135902394,0.41625699400901794
-24.0,0.0,0.0,fixed_seed3,1.6103465313097645,1.3184278278591413,0.049046918749809265,-0.14112110435962677
-24.0,0.0,0.0,fixed_seed4,1.4501047572069385,1.4362316215973536,-0.05534125864505768,-0.06437879800796509
-24.0,0.0,0.0,event_seed0,1.7682233264698208,0.9108713275757301,0.1518944501876831,-0.40662041306495667
-24.0,0.0,0.0,event_seed1,1.0704562939741844,1.5529561896843005,-0.30266010761260975,0.011660455726087093
-24.0,0.0,0.0,event_seed2,1.365947844683706,1.5809127013005704,-0.1101645827293396,0.02987249381840229
-24.0,0.0,0.0,event_seed3,1.6235517481074206,1.7078774888490846,0.05764934793114662,0.11258265376091003
-24.0,0.0,0.0,event_seed4,0.6804294501185862,1.072745170693911,-0.556739866733551,-0.3011690378189087
-22.0,0.0,0.0,analytical,0.6235624939880628,0.7117756843558558,-0.593785374608732,-0.5363196218970117
-22.0,0.0,0.0,fixed_seed0,1.548067483922506,1.456285215000241,0.00847574882209301,-0.051315050572156906
-22.0,0.0,0.0,fixed_seed1,0.923502695411852,1.9389890292703986,-0.39839181303977966,0.2631383538246155
-22.0,0.0,0.0,fixed_seed2,1.0457462429767688,2.1703821502043827,-0.3187572658061981,0.4138774871826172
-22.0,0.0,0.0,fixed_seed3,1.6086022189495128,1.3217190488571142,0.047910600900650024,-0.1389770656824112
-22.0,0.0,0.0,fixed_seed4,1.4508984150991393,1.4372752308020706,-0.054824236780405045,-0.06369894742965698
-22.0,0.0,0.0,event_seed0,1.7667525658033976,0.9144109158528722,0.1509363353252411,-0.4043145775794983
-22.0,0.0,0.0,event_seed1,1.0732523816027615,1.5528240072481665,-0.3008386194705963,0.01157434657216072
-22.0,0.0,0.0,event_seed2,1.3671073914049519,1.5805777211366547,-0.10940920561552048,0.02965427376329899
-22.0,0.0,0.0,event_seed3,1.6230158015755771,1.7066260681937089,0.05730020999908447,0.11176742613315582
